"contrast","estimate","SE","df","t.ratio","p.value"
"Human - AssemblyAI",-0.0673414304993256,0.0197844087584166,31.9999999999996,-3.4037625951636,0.00673810903068689
"Human - AWS",-0.0207827260458843,0.0197844087584166,31.9999999999996,-1.05045979890822,0.360852800603626
"Human - CrisperWhisper",-0.0260458839406211,0.0197844087584166,31.9999999999995,-1.31648533239795,0.282791109540046
"Human - Google",0.0107962213225368,0.0197844087584166,31.9999999999995,0.545693402030217,0.662693476193964
"Human - Meta",-0.0931174089068829,0.0197844087584166,31.9999999999995,-4.70660559251078,0.00083753000229064
"Human - Microsoft",-0.0674763832658573,0.0197844087584166,31.9999999999996,-3.41058376268897,0.00673810903068689
"Human - Nemo",-0.046828609986505,0.0197844087584166,31.9999999999996,-2.36694513130615,0.0544300051335898
"Human - Whisper",-0.0727395411605941,0.0197844087584166,31.9999999999996,-3.67660929617871,0.00468126846642093
"AssemblyAI - AWS",0.0465587044534413,0.0197844087584166,31.9999999999998,2.35330279625538,0.0544300051335898
"AssemblyAI - CrisperWhisper",0.0412955465587045,0.0197844087584166,31.9999999999997,2.08727726276564,0.0850959917522521
"AssemblyAI - Google",0.0781376518218624,0.0197844087584166,31.9999999999998,3.94945599719382,0.00290586331970555
"AssemblyAI - Meta",-0.0257759784075574,0.0197844087584166,31.9999999999997,-1.30284299734718,0.282791109540046
"AssemblyAI - Microsoft",-0.000134952766531707,0.0197844087584166,31.9999999999998,-0.00682116752537756,0.994599885975387
"AssemblyAI - Nemo",0.0205128205128205,0.0197844087584166,31.9999999999998,1.03681746385744,0.360852800603626
"AssemblyAI - Whisper",-0.00539811066126855,0.0197844087584166,31.9999999999998,-0.272846701015117,0.814552586148764
"AWS - CrisperWhisper",-0.00526315789473684,0.0197844087584166,31.9999999999998,-0.266025533489739,0.814552586148764
"AWS - Google",0.0315789473684211,0.0197844087584166,31.9999999999998,1.59615320093843,0.206201988277107
"AWS - Meta",-0.0723346828609987,0.0197844087584166,31.9999999999998,-3.65614579360256,0.00468126846642093
"AWS - Microsoft",-0.046693657219973,0.0197844087584166,31.9999999999998,-2.36012396378076,0.0544300051335898
"AWS - Nemo",-0.0260458839406208,0.0197844087584166,31.9999999999999,-1.31648533239794,0.282791109540046
"AWS - Whisper",-0.0519568151147098,0.0197844087584166,31.9999999999999,-2.6261494972705,0.0394170853884304
"CrisperWhisper - Google",0.0368421052631579,0.0197844087584166,31.9999999999997,1.86217873442817,0.129208482019617
"CrisperWhisper - Meta",-0.0670715249662618,0.0197844087584166,31.9999999999997,-3.39012026011283,0.00673810903068689
"CrisperWhisper - Microsoft",-0.0414304993252362,0.0197844087584166,31.9999999999997,-2.09409843029102,0.0850959917522521
"CrisperWhisper - Nemo",-0.0207827260458839,0.0197844087584166,31.9999999999997,-1.0504597989082,0.360852800603626
"CrisperWhisper - Whisper",-0.046693657219973,0.0197844087584166,31.9999999999998,-2.36012396378076,0.0544300051335898
"Google - Meta",-0.10391363022942,0.0197844087584166,31.9999999999998,-5.252298994541,0.000343346874466544
"Google - Microsoft",-0.0782726045883941,0.0197844087584166,31.9999999999998,-3.95627716471919,0.00290586331970555
"Google - Nemo",-0.0576248313090418,0.0197844087584166,31.9999999999998,-2.91263853333637,0.0212194072218854
"Google - Whisper",-0.0835357624831309,0.0197844087584166,31.9999999999998,-4.22230269820893,0.00224173491995585
"Meta - Microsoft",0.0256410256410257,0.0197844087584166,31.9999999999998,1.29602182982181,0.282791109540046
"Meta - Nemo",0.0462887989203779,0.0197844087584166,31.9999999999998,2.33966046120463,0.0544300051335898
"Meta - Whisper",0.0203778677462888,0.0197844087584166,31.9999999999998,1.02999629633207,0.360852800603626
"Microsoft - Nemo",0.0206477732793522,0.0197844087584166,31.9999999999998,1.04363863138282,0.360852800603626
"Microsoft - Whisper",-0.00526315789473684,0.0197844087584166,31.9999999999998,-0.266025533489739,0.814552586148764
"Nemo - Whisper",-0.0259109311740891,0.0197844087584166,31.9999999999998,-1.30966416487256,0.282791109540046
