"contrast","estimate","SE","df","t.ratio","p.value"
"Human - AssemblyAI",0.0889328063241115,0.0253380528256541,32,3.50985164235151,0.00976377794399721
"Human - AWS",0.00830039525691779,0.0253380528256541,32,0.327586153286169,0.766654143886345
"Human - CrisperWhisper",8.01081201914743e-16,0.0253380528256541,32,3.16157365140414e-14,0.999999999999975
"Human - Google",-0.0454545454545445,0.0253380528256541,32,-1.79392417275739,0.143176004606409
"Human - Meta",0.0620553359683803,0.0253380528256541,31.9999999999999,2.44909647932973,0.0479532356408193
"Human - Microsoft",0.017391304347827,0.0253380528256541,32,0.686370987837657,0.596907426560201
"Human - Nemo",0.02608695652174,0.0253380528256541,32,1.02955648175647,0.430529102650443
"Human - Whisper",0.0711462450592894,0.0253380528256541,31.9999999999999,2.80788131388122,0.030334120616444
"AssemblyAI - AWS",-0.0806324110671937,0.0253380528256541,31.9999999999999,-3.18226548906534,0.0194615791755425
"AssemblyAI - CrisperWhisper",-0.0889328063241107,0.0253380528256541,31.9999999999999,-3.50985164235148,0.00976377794399721
"AssemblyAI - Google",-0.134387351778656,0.0253380528256541,31.9999999999998,-5.3037758151089,0.000295554043629627
"AssemblyAI - Meta",-0.0268774703557312,0.0253380528256541,31.9999999999999,-1.06075516302178,0.430529102650443
"AssemblyAI - Microsoft",-0.0715415019762845,0.0253380528256541,31.9999999999998,-2.82348065451386,0.030334120616444
"AssemblyAI - Nemo",-0.0628458498023716,0.0253380528256541,31.9999999999999,-2.48029516059505,0.0479532356408193
"AssemblyAI - Whisper",-0.0177865612648222,0.0253380528256541,31.9999999999999,-0.701970328470297,0.596907426560201
"AWS - CrisperWhisper",-0.00830039525691699,0.0253380528256541,31.9999999999999,-0.327586153286138,0.766654143886345
"AWS - Google",-0.0537549407114623,0.0253380528256541,31.9999999999998,-2.12151032604356,0.0834367278739275
"AWS - Meta",0.0537549407114625,0.0253380528256541,31.9999999999999,2.12151032604356,0.0834367278739275
"AWS - Microsoft",0.00909090909090918,0.0253380528256541,31.9999999999998,0.358784834551488,0.766654143886345
"AWS - Nemo",0.0177865612648222,0.0253380528256541,31.9999999999999,0.701970328470297,0.596907426560201
"AWS - Whisper",0.0628458498023716,0.0253380528256541,31.9999999999999,2.48029516059505,0.0479532356408193
"CrisperWhisper - Google",-0.0454545454545453,0.0253380528256541,31.9999999999998,-1.79392417275742,0.143176004606409
"CrisperWhisper - Meta",0.0620553359683795,0.0253380528256541,31.9999999999998,2.4490964793297,0.0479532356408193
"CrisperWhisper - Microsoft",0.0173913043478262,0.0253380528256541,31.9999999999998,0.686370987837626,0.596907426560201
"CrisperWhisper - Nemo",0.0260869565217392,0.0253380528256541,31.9999999999998,1.02955648175643,0.430529102650443
"CrisperWhisper - Whisper",0.0711462450592886,0.0253380528256541,31.9999999999998,2.80788131388118,0.030334120616444
"Google - Meta",0.107509881422925,0.0253380528256541,31.9999999999998,4.24302065208712,0.00211343213892218
"Google - Microsoft",0.0628458498023715,0.0253380528256541,31.9999999999998,2.48029516059504,0.0479532356408193
"Google - Nemo",0.0715415019762845,0.0253380528256541,31.9999999999998,2.82348065451385,0.030334120616444
"Google - Whisper",0.116600790513834,0.0253380528256541,31.9999999999998,4.6018054866386,0.00113353988191328
"Meta - Microsoft",-0.0446640316205533,0.0253380528256541,31.9999999999998,-1.76272549149207,0.143176004606409
"Meta - Nemo",-0.0359683794466403,0.0253380528256541,31.9999999999998,-1.41953999757327,0.258903303115092
"Meta - Whisper",0.00909090909090908,0.0253380528256541,31.9999999999998,0.358784834551484,0.766654143886345
"Microsoft - Nemo",0.00869565217391299,0.0253380528256541,31.9999999999999,0.343185493918809,0.766654143886345
"Microsoft - Whisper",0.0537549407114624,0.0253380528256541,31.9999999999998,2.12151032604356,0.0834367278739275
"Nemo - Whisper",0.0450592885375494,0.0253380528256541,31.9999999999998,1.77832483212475,0.143176004606409
