"effect","term","estimate","std.error","statistic","df","p.value"
"fixed","(Intercept)",0.699705324754215,0.00754852349670491,92.6943295678487,411.227418161244,1.03512349513896e-277
"fixed","GroupDEM",0.0748439961398018,0.00950482379194376,7.87431706027409,411.227411604113,3.07888502481596e-14
"fixed","SourceAssemblyAI",-0.01284994681006,0.00426169310258684,-3.01522106372702,2432.0000258852,0.00259447754828074
"fixed","SourceAWS",-0.00336981272339631,0.00426169310258685,-0.790721584656303,2432.00002602652,0.429183577006089
"fixed","SourceCrisperWhisper",-0.00135823290486292,0.00426169310258684,-0.318707347565331,2432.0000259644,0.749975810352087
"fixed","SourceGoogle",-0.00714838785747306,0.00426169310258684,-1.67735866600389,2432.00002589686,0.0936008684165701
"fixed","SourceMeta",-0.0114266260931528,0.00426169310258684,-2.68124095707802,2432.00002595055,0.0073845187157877
"fixed","SourceMicrosoft",-0.00740941279239487,0.00426169310258684,-1.73860778193938,2432.00002591032,0.0822303261337736
"fixed","SourceNemo",-0.0123634846813868,0.00426169310258684,-2.90107344282538,2432.00002580274,0.00375226933615918
"fixed","SourceWhisper",-0.0109194006251314,0.00426169310258684,-2.56222124922682,2432.00002585239,0.0104602454247372
"fixed","GroupDEM:SourceAssemblyAI",-0.0128120184829627,0.00536616757079945,-2.38755467732327,2432.00002631694,0.0170368196357128
"fixed","GroupDEM:SourceAWS",-0.010461956782174,0.00536616757079945,-1.94961425340197,2432.00002632733,0.051336898249408
"fixed","GroupDEM:SourceCrisperWhisper",-0.00644622616912338,0.00536616757079945,-1.20127187309639,2432.00002631269,0.229762730834514
"fixed","GroupDEM:SourceGoogle",-0.0110956856604854,0.00536616757079945,-2.06771136273562,2432.00002625918,0.0387727042833174
"fixed","GroupDEM:SourceMeta",-0.00640270592190956,0.00536616757079945,-1.19316175602688,2432.00002638327,0.232922414143933
"fixed","GroupDEM:SourceMicrosoft",-0.0254102829008779,0.00536616757079945,-4.7352757001385,2432.00002626214,2.31330175741714e-06
"fixed","GroupDEM:SourceNemo",-0.0104728993268234,0.00536616757079945,-1.95165342651853,2432.00002626987,0.0510940043140351
"fixed","GroupDEM:SourceWhisper",-0.0111091654508006,0.00536616757079945,-2.07022335851983,2432.00002621416,0.0385367522100257
